id,word
0,睇
1,矛头
2,身线
3,软乎
4,Pretty
5,敲掉
6,发尖
7,灭
8,说白了
9,自打
10,崇道
11,Talk
12,无所
13,时代
14,喂狗
15,感染
16,龙门阵
17,无几
18,Sam
19,黄皮肤
20,凝成
21,杀入
22,推翻
23,七擒七纵
24,独醉
25,伤情
26,铁锈
27,推荐
28,钟点
29,動氣
30,有点
31,未雨
32,joke
33,不潮
34,敲晕
35,偶像
36,棋谱
37,妈妈
38,介意
39,来得及
40,营养
41,チ
42,跟风者
43,纱
44,不约而同
45,区隔
46,明示
47,好的开始
48,顶峰
49,伸
50,反反复复
51,Hallo
52,撒
53,一斗
54,能见
55,行迹
56,误
57,两步
58,胸腔
59,不予理睬
60,强力
61,裁决
62,棱角
63,wake
64,mercy
65,勇气
66,知根知底
67,全凭
68,苦难
69,伟力
70,密不透风
71,销魂
72,辍学
73,toast
74,硬汉
75,改行
76,满仓
77,指点
78,19
79,武昌
80,有话直说
81,啥
82,似越
83,假装
84,八十
85,Eminem
86,射雕
87,杀人放火
88,洋盘
89,军火库
90,食欲
91,被铐
92,双规
93,泡尿照
94,加满
95,天边
96,练过武
97,哭肿
98,不知廉耻
99,wifi
100,africa
101,点算
102,没上
103,五十七
104,FACEBOOK
105,友善
106,小李广
107,无理取闹
108,球
109,Turn
110,FUCCCCK
111,落款
112,董
113,四起
114,玩断
115,擾亂
116,Drive
117,名句
118,日出日落
119,列为
120,辛勤
121,纽约时报
122,纳闷
123,假意
124,音乐声
125,天高地厚
126,混为一谈
127,肆意
128,砍价
129,歌播
130,铜锈
131,咎由自取
132,GETTING
133,公鸭
134,囿于
135,同城
136,平心静气
137,逗留
138,一搏
139,收看
140,如实
141,hstleling
142,删
143,生活圈
144,tied
145,穿梭
146,功倍事
147,累成
148,系种
149,背债
150,关平
151,发梦
152,Japanese
153,舊日
154,视频
155,新鲜出炉
156,烂鼓
157,bouce
158,直接了当
159,自我感觉
160,长途跋涉
161,鞭打
162,精力有限
163,经由
164,above
165,汇
166,格力
167,顺水顺风
168,大逆转
169,污秽
170,十多年
171,亮
172,08
173,惨无人道
174,植皮
175,可玩不
176,表达方式
177,cheaper
178,残花
179,果酒
180,半拍
181,弱
182,本分
183,誓
184,下酒菜
185,大论
186,零散
187,描述
188,镶金
189,Se
190,人为
191,沉溺在
192,坚决
193,高台
194,真情流露
195,震爆
196,至死
197,小游戏
198,悔
199,蜕
200,地摊货
201,梦幻组合
202,不冷不热
203,融与
204,教鞭
205,独坐
206,遮
207,世间
208,同意
209,攻坚
210,多一秒
211,追回
212,位
213,大白天
214,摆满
215,随身带
216,will
217,阔别
218,Great
219,穿
220,如何
221,行人
222,捶
223,冲喜
224,仿徨
225,ALWAYS
226,不心愧
227,facker
228,只给
229,鲜活
230,扩大
231,水平
232,吹灰之力
233,给
234,放屁
235,再升
236,马龙
237,新娘
238,白会
239,敷着
240,一艘
241,走开
242,条理
243,一可再
244,困苦
245,韵律
246,入夜
247,爱字
248,孙
249,実
250,栖息地
251,crues
252,泥鳅
253,看重
254,Because
255,很忙
256,９
257,不光
258,威廉
259,随处
260,烟消云散
261,shadow
262,逃脱
263,根治
264,中队
265,天狗
266,含酒精
267,its
268,长河
269,放开
270,领情
271,罩住
272,山和
273,整装待发
274,Jo
275,举例
276,反口
277,十几人
278,贪吃
279,老望
280,遺落
281,进迷
282,神盾局
283,讀
284,醉鬼
285,飞檐
286,天国
287,壁橱
288,凄惨
289,思索
290,分量
291,过早
292,would
293,饮醉
294,芒
295,碳
296,上纲上线
297,发烧
298,兑换
299,DANZA
300,缩成
301,日天
302,用餐
303,Migos
304,留给
305,换金
306,第七
307,青梅
308,百团大战
309,必露
310,一律
311,行为
312,女力
313,饮杯
314,动人
315,这段话
316,掀掉
317,脸红
318,两颗
319,坐标
320,睡著
321,轻松
322,菊花
323,坡头
324,有佛
325,外
326,嘲笑声
327,避开
328,rented
329,黑烟
330,氛子
331,联手
332,真快
333,师父
334,accident
335,制敌
336,不倒翁
337,晕晕晕
338,二十八
339,Talking
340,五味
341,找靠
342,最亲
343,清楚
344,若
345,病得
346,钱财
347,本拉登
348,FP
349,边卷
350,揭发
351,油报
352,yours
353,暗处
354,生子
355,提现
356,只有
357,站稳脚步
358,人人为我
359,分数
360,烂梗
361,浊气
362,OK
363,碍事
364,赶去
365,祸端
366,保险柜
367,陀地
368,開花
369,撞了人
370,辅导
371,ュ
372,事由
373,划掉
374,校花
375,拼劲
376,曲解
377,电脑城
378,军备竞赛
379,少势
380,得去
381,学来
382,团结合作
383,上飞
384,逮捕
385,这人
386,lowkey
387,峰回路转
388,艰难险阻
389,概括
390,撤该
391,淋够
392,耙
393,不单
394,bus
395,佩服
396,炸鸡
397,Homies
398,總
399,狮子王
400,的狠
401,相继
402,Counting
403,校园生活
404,脸门
405,阿爸
406,深陷
407,掩起
408,自
409,金丹
410,下沉
411,虚情假意
412,不育
413,白头偕老
414,存亡
415,三角洲
416,社团
417,练功房
418,捧
419,Jah
420,愚人
421,咋个
422,肩并肩
423,四十不惑
424,这行
425,事已至此
426,跃过
427,狗眼看人
428,藏躲
429,古道
430,眼花缭乱
431,武打
432,公寓
433,一刻
434,变天
435,刻录
436,预设
437,聲機
438,noise
439,指派
440,屁股
441,某
442,剩我
443,百幕
444,撒哈拉
445,踩油门
446,斗点
447,怀了孕
448,逼得
449,补品
450,》
451,定语
452,氣傲
453,长滩
454,沼气
455,内外呼应
456,巧遇
457,斗狠
458,宰相
459,语系
460,幫
461,人神共愤
462,卖房
463,自废
464,改改
465,怪诞
466,萧启道
467,乐团
468,贼船
469,二十几
470,舞者
471,醉
472,貌
473,紧握住
474,二百一十
475,才气
476,飈
477,侦探
478,考
479,处理
480,理麻
481,零碎
482,病人
483,清澈见底
484,三七
485,发疯
486,着劲儿
487,营造
488,暴利
489,拍爱
490,比巴卜
491,科学
492,刀剑
493,问起
494,不要命
495,难受
496,放映
497,snitch
498,袜子
499,忘怀
500,坪
501,赌博
502,骝
503,容器
504,带进
505,下个天
506,占据
507,反面
508,生了锈
509,泡泡
510,怨言
511,空调
512,路路
513,抢货
514,鬼胎
515,Tm
516,cover
517,多姿
518,石榴树
519,前人
520,畏罪
521,沙
522,胜
523,孙子
524,油光满面
525,敌敌畏
526,手绘
527,椰子树
528,著作
529,耐性
530,熟
531,幾點
532,根深
533,旧历
534,拉链
535,小白兔
536,迎接
537,乧里做个嗲嗲
538,超市
539,你
540,发胀
541,整座
542,闯下大祸
543,一大堆
544,起伏
545,砥砺
546,比枪
547,里静静
548,够
549,开闭
550,如火如荼
551,MCs
552,活过
553,前场
554,越
555,环岛路
556,雷鸣
557,战斗
558,摩斯
559,歪风邪气
560,纖
561,绝不能
562,咖啡厅
563,电视机
564,贪食蛇
565,到货
566,可靠
567,打醒
568,可塑
569,太平盛世
570,図
571,指引方向
572,卓卓
573,hassle
574,火炮
575,Pit
576,淫荡
577,算球
578,轻巧
579,BABE
580,加倍
581,照樣
582,一遍
583,ゃ
584,drama
585,一撇
586,蒸
587,皎洁
588,爱比
589,屉子
590,耶
591,搜寻
592,医学生
593,蛋壳
594,建议
595,bingbom
596,minie
597,再当
598,愧对
599,莲子
600,纯碎
601,放狗
602,久违
603,五彩
604,CHIGGA
605,二人组
606,破土
607,香油
608,查觉
609,被叫
610,na
611,不滑
612,怯懦
613,慈祥
614,弥补
615,淡出
616,听
617,打扰
618,只好
619,请安
620,顽强
621,疮痍
622,越毒
623,淘沙得金
624,琳
625,大鱼大肉
626,面目
627,bass
628,Superstar
629,先要
630,本土
631,手起刀落
632,一笑而过
633,人群
634,单膝
635,锈迹斑斑
636,博会
637,Ouuu
638,早晚都是
639,武侯
640,共和国
641,朵
642,Hill
643,奇怪
644,sense
645,california
646,肚倾野
647,五系
648,正题
649,不达
650,妥当
651,莫提
652,冰点
653,没轮到
654,八抬大轿
655,聚餐
656,iPhone7
657,乱了阵脚
658,消愁
659,暖手
660,body
661,横子
662,相守
663,接著
664,毒奶粉
665,几难
666,顏色
667,剧场
668,煤油灯
669,grime
670,超商
671,陕西
672,嫖过
673,沧海一粟
674,武林中
675,高脚杯
676,十二年
677,黑鬼
678,买回来
679,山洞
680,Whats
681,小伙伴
682,鸡块
683,智商
684,partytime
685,歌舞
686,尘暴
687,kiang
688,学识
689,揾
690,两位
691,功名利禄
692,幾十萬
693,踱步
694,滨河路
695,猛男
696,柳笛声
697,苍狼
698,十五岁
699,抽会
700,对立
701,motherfucka
702,情愿
703,挂科
704,水汪汪
705,深埋
706,步行街
707,诈骗
708,福满
709,在握
710,几年
711,咔
712,无缘
713,灯灭了
714,枪声
715,审视
716,AMG
717,俱乐部
718,印在
719,傻话
720,滴水之恩
721,大
722,人心难测
723,字港
724,箱底
725,从上到下
726,伤肺
727,Target
728,灵岩
729,赞颂
730,牙齿
731,每
732,停歇
733,水母
734,溶解
735,破釜沉舟
736,欠钱
737,Flavour
738,尾随
739,立场
740,布偶戏
741,绊倒
742,听风
743,三月初
744,不知疲倦
745,绑架案
746,北电
747,渊
748,海裡
749,分开
750,校园
751,凤梨
752,饱受
753,their
754,装下
755,好懵整
756,沙丘
757,孤魂野鬼
758,示爱
759,规划
760,空格
761,果断
762,击不中
763,可图
764,门清
765,富丽堂皇
766,叹惋
767,补
768,解析
769,撵
770,坚毅
771,耳目
772,甚么
773,厘米
774,奥运
775,临倒
776,一刻多
777,遇到
778,浓烟
779,太紧张
780,多年
781,触碰
782,听不得
783,天干
784,洪一
785,自重
786,上上下下
787,杜撰
788,一趟
789,Any
790,晋
791,获得
792,TUPAC
793,朱鼻
794,肠子
795,我儿
796,螺旋
797,十万个
798,脱下
799,吴宗宪
800,海上
801,头重脚轻
802,戰火
803,Babe
804,争权攘利
805,英伦
806,无畏地
807,OOO
808,弦
809,温水
810,鸦雀无声
811,对待
812,一枝独秀
813,手动档
814,走线
815,Gi
816,高歌
817,walk
818,蒸蒸日上
819,头版
820,SHUAI
821,无私
822,安块
823,相逢
824,照
825,殉道
826,give
827,Super
828,回想
829,样范
830,巫山
831,交底
832,买盘
833,后头
834,Monster
835,无眠
836,白纸
837,快进来
838,至夜
839,一瓢
840,水淹七军
841,不止
842,最初
843,记忆里
844,晒
845,全
846,改写
847,时间推移
848,巴西
849,铁块
850,实质
851,期
852,好了吗
853,能出
854,真牛逼
855,外乡人
856,水上公园
857,っ
858,走來
859,大都市
860,OneGreen
861,未供
862,战艇
863,粉底
864,会吠
865,裸露
866,喷子
867,沪
868,烏呼
869,扭转
870,SUPERMAN
871,七大姑八大姨
872,幻灯片
873,陌
874,锁喉
875,一敌百取下
876,愚人节
877,正气
878,友情
879,芸術
880,俾我
881,最起码
882,椰子
883,易容
884,绕
885,lost
886,很惨
887,高高的
888,满脑子
889,感恩
890,应景
891,发源地
892,前列腺
893,Would
894,坚贞
895,险恶
896,马不停蹄
897,仍
898,气泡
899,左杰青
900,诸子
901,就读
902,一醉方休
903,扬
904,走运
905,蝶
906,人
907,中指
908,左眼
909,吼起
910,凉快
911,不会
912,土豪
913,不公
914,蒲松龄
915,屡
916,始
917,下岗
918,棒槌
919,Ew
920,办到
921,解毒
922,昆虫
923,试验
924,杯弓蛇影
925,哈祝
926,高梁
927,咖奈
928,崩塌
929,纳
930,旗帜
931,二九
932,一棵树
933,災難
934,六岁
935,算账
936,势利
937,鱼儿
938,长跪
939,开嘴
940,鸡鸡
941,蛙跳
942,老枪
943,雨伞
944,過
945,胡同
946,chase
947,Tory
948,变调
949,蝇头小利
950,飙高
951,早
952,ICU
953,摸清
954,尽过
955,维密
956,bop
957,江东父老
958,fleece
959,殒命
960,Everybody
961,住所
962,dhabi
963,云彩
964,人声鼎沸
965,对仗
966,正传
967,honeybaby
968,游乐园
969,梵音
970,我日
971,杂交
972,别急
973,wu
974,同类
975,俘虏
976,野心家
977,随风
978,滚粗
979,頭痛
980,第一排
981,wide
982,6000
983,裘莉
984,沸腾
985,票
986,蚕食
987,穿着打扮
988,动武
989,能替
990,下回
